model_size,mode,context_length,non_matmul_rank,kernel_family,time_percent,total_time_ns,instances_captured,measured_passes,calls_per_forward,avg_ns,kernel_name,source_csv
small,forward_only,256,1,vectorized_elementwise,8.8,291554683,6750,10,675.0,43193.3,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<float>, std::array<char *, (unsigned long)3>>(int, T2, T3)",Write_up/nsys_kernel_summaries/nsys_small_forward_only_context_length256_cuda_gpu_kern_sum.csv
small,forward_only,256,2,vectorized_elementwise,7.6,253272463,1960,10,196.0,129220.6,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, std::array<char *, (unsigned long)3>>(int, T2, T3)",Write_up/nsys_kernel_summaries/nsys_small_forward_only_context_length256_cuda_gpu_kern_sum.csv
small,forward_only,256,3,vectorized_elementwise,4.8,158946367,7160,10,716.0,22199.2,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, std::array<char *, (unsigned long)2>>(int, T2, T3)",Write_up/nsys_kernel_summaries/nsys_small_forward_only_context_length256_cuda_gpu_kern_sum.csv
small,forward_only,256,4,elementwise,3.6,118576032,480,10,48.0,247033.4,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::DivFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)",Write_up/nsys_kernel_summaries/nsys_small_forward_only_context_length256_cuda_gpu_kern_sum.csv
small,forward_only,256,5,elementwise,2.3,76715586,2930,10,293.0,26182.8,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)",Write_up/nsys_kernel_summaries/nsys_small_forward_only_context_length256_cuda_gpu_kern_sum.csv
small,forward_only,256,6,vectorized_elementwise,2.2,74262627,280,10,28.0,265223.7,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::neg_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)",Write_up/nsys_kernel_summaries/nsys_small_forward_only_context_length256_cuda_gpu_kern_sum.csv
small,forward_only,256,7,elementwise,2.2,73257620,1810,10,181.0,40473.8,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)",Write_up/nsys_kernel_summaries/nsys_small_forward_only_context_length256_cuda_gpu_kern_sum.csv
small,forward_only,256,8,elementwise,2.0,65478453,260,10,26.0,251840.2,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)",Write_up/nsys_kernel_summaries/nsys_small_forward_only_context_length256_cuda_gpu_kern_sum.csv
small,forward_only,256,9,vectorized_elementwise,1.8,58502921,240,10,24.0,243762.2,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, std::array<char *, (unsigned long)2>>(int, T2, T3)",Write_up/nsys_kernel_summaries/nsys_small_forward_only_context_length256_cuda_gpu_kern_sum.csv
small,forward_only,256,10,reduction,1.7,56944000,640,10,64.0,88975.0,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::sum_functor<float, float, float>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, float, (int)4, (int)4>>(T3)",Write_up/nsys_kernel_summaries/nsys_small_forward_only_context_length256_cuda_gpu_kern_sum.csv
small,forward_only,512,1,vectorized_elementwise,4.8,43888988,240,10,24.0,182870.8,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, std::array<char *, (unsigned long)3>>(int, T2, T3)",Write_up/nsys_kernel_summaries/nsys_small_forward_only_context_length512_cuda_gpu_kern_sum.csv
small,forward_only,512,2,elementwise,4.3,39436303,1460,10,146.0,27011.2,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)",Write_up/nsys_kernel_summaries/nsys_small_forward_only_context_length512_cuda_gpu_kern_sum.csv
small,forward_only,512,3,elementwise,3.2,29481641,120,10,12.0,245680.3,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::DivFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)",Write_up/nsys_kernel_summaries/nsys_small_forward_only_context_length512_cuda_gpu_kern_sum.csv
small,forward_only,512,4,vectorized_elementwise,3.2,29260699,120,10,12.0,243839.2,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, std::array<char *, (unsigned long)2>>(int, T2, T3)",Write_up/nsys_kernel_summaries/nsys_small_forward_only_context_length512_cuda_gpu_kern_sum.csv
