model_size,mode,context_length,kernel_family,total_time_ns,total_cuda_kernel_time_ns,time_percent_of_profile,source_profile_csv
small,forward_only,1024,matmul/GEMM,1276345163,2267080556,56.30,Write_up/nsys_kernel_summaries/nsys_small_forward_only_context_length1024_cuda_gpu_kern_sum.csv
small,forward_only,1024,elementwise,623490549,2267080556,27.50,Write_up/nsys_kernel_summaries/nsys_small_forward_only_context_length1024_cuda_gpu_kern_sum.csv
small,forward_only,1024,softmax/mask elementwise,224136526,2267080556,9.89,Write_up/nsys_kernel_summaries/nsys_small_forward_only_context_length1024_cuda_gpu_kern_sum.csv
small,forward_only,1024,reduction,124399853,2267080556,5.49,Write_up/nsys_kernel_summaries/nsys_small_forward_only_context_length1024_cuda_gpu_kern_sum.csv
small,forward_only,1024,copy/memory,18708465,2267080556,0.83,Write_up/nsys_kernel_summaries/nsys_small_forward_only_context_length1024_cuda_gpu_kern_sum.csv
small,forward_only,256,matmul/GEMM,1747824034,3312069257,52.77,Write_up/nsys_kernel_summaries/nsys_small_forward_only_context_length256_cuda_gpu_kern_sum.csv
small,forward_only,256,elementwise,1382166852,3312069257,41.73,Write_up/nsys_kernel_summaries/nsys_small_forward_only_context_length256_cuda_gpu_kern_sum.csv
small,forward_only,256,reduction,84894470,3312069257,2.56,Write_up/nsys_kernel_summaries/nsys_small_forward_only_context_length256_cuda_gpu_kern_sum.csv
small,forward_only,256,softmax/mask elementwise,78279636,3312069257,2.36,Write_up/nsys_kernel_summaries/nsys_small_forward_only_context_length256_cuda_gpu_kern_sum.csv
small,forward_only,256,copy/memory,18348320,3312069257,0.55,Write_up/nsys_kernel_summaries/nsys_small_forward_only_context_length256_cuda_gpu_kern_sum.csv
small,forward_only,256,index/gather,458323,3312069257,0.01,Write_up/nsys_kernel_summaries/nsys_small_forward_only_context_length256_cuda_gpu_kern_sum.csv
small,forward_only,256,other,97622,3312069257,0.00,Write_up/nsys_kernel_summaries/nsys_small_forward_only_context_length256_cuda_gpu_kern_sum.csv
small,forward_only,512,matmul/GEMM,595373146,916912026,64.93,Write_up/nsys_kernel_summaries/nsys_small_forward_only_context_length512_cuda_gpu_kern_sum.csv
small,forward_only,512,elementwise,224646845,916912026,24.50,Write_up/nsys_kernel_summaries/nsys_small_forward_only_context_length512_cuda_gpu_kern_sum.csv
small,forward_only,512,softmax/mask elementwise,51871617,916912026,5.66,Write_up/nsys_kernel_summaries/nsys_small_forward_only_context_length512_cuda_gpu_kern_sum.csv
small,forward_only,512,reduction,35120245,916912026,3.83,Write_up/nsys_kernel_summaries/nsys_small_forward_only_context_length512_cuda_gpu_kern_sum.csv
small,forward_only,512,copy/memory,9900173,916912026,1.08,Write_up/nsys_kernel_summaries/nsys_small_forward_only_context_length512_cuda_gpu_kern_sum.csv
small,full_training_steps,1024,matmul/GEMM,63593190230,109393290374,58.13,Write_up/nsys_kernel_summaries/nsys_small_full_training_steps_context_length1024_cuda_gpu_kern_sum.csv
small,full_training_steps,1024,elementwise,40699442963,109393290374,37.20,Write_up/nsys_kernel_summaries/nsys_small_full_training_steps_context_length1024_cuda_gpu_kern_sum.csv
small,full_training_steps,1024,reduction,2597478598,109393290374,2.37,Write_up/nsys_kernel_summaries/nsys_small_full_training_steps_context_length1024_cuda_gpu_kern_sum.csv
small,full_training_steps,1024,softmax/mask elementwise,1836940549,109393290374,1.68,Write_up/nsys_kernel_summaries/nsys_small_full_training_steps_context_length1024_cuda_gpu_kern_sum.csv
small,full_training_steps,1024,copy/memory,640671604,109393290374,0.59,Write_up/nsys_kernel_summaries/nsys_small_full_training_steps_context_length1024_cuda_gpu_kern_sum.csv
small,full_training_steps,1024,index/gather,25389504,109393290374,0.02,Write_up/nsys_kernel_summaries/nsys_small_full_training_steps_context_length1024_cuda_gpu_kern_sum.csv
small,full_training_steps,1024,other,176926,109393290374,0.00,Write_up/nsys_kernel_summaries/nsys_small_full_training_steps_context_length1024_cuda_gpu_kern_sum.csv
small,full_training_steps,256,matmul/GEMM,868759657,1748988910,49.67,Write_up/nsys_kernel_summaries/nsys_small_full_training_steps_context_length256_cuda_gpu_kern_sum.csv
small,full_training_steps,256,elementwise,820058802,1748988910,46.89,Write_up/nsys_kernel_summaries/nsys_small_full_training_steps_context_length256_cuda_gpu_kern_sum.csv
small,full_training_steps,256,reduction,29876536,1748988910,1.71,Write_up/nsys_kernel_summaries/nsys_small_full_training_steps_context_length256_cuda_gpu_kern_sum.csv
small,full_training_steps,256,softmax/mask elementwise,21174644,1748988910,1.21,Write_up/nsys_kernel_summaries/nsys_small_full_training_steps_context_length256_cuda_gpu_kern_sum.csv
small,full_training_steps,256,copy/memory,8785577,1748988910,0.50,Write_up/nsys_kernel_summaries/nsys_small_full_training_steps_context_length256_cuda_gpu_kern_sum.csv
small,full_training_steps,256,index/gather,248979,1748988910,0.01,Write_up/nsys_kernel_summaries/nsys_small_full_training_steps_context_length256_cuda_gpu_kern_sum.csv
small,full_training_steps,256,other,84715,1748988910,0.00,Write_up/nsys_kernel_summaries/nsys_small_full_training_steps_context_length256_cuda_gpu_kern_sum.csv
small,full_training_steps,512,matmul/GEMM,1733132063,3287554379,52.72,Write_up/nsys_kernel_summaries/nsys_small_full_training_steps_context_length512_cuda_gpu_kern_sum.csv
small,full_training_steps,512,elementwise,1373552871,3287554379,41.78,Write_up/nsys_kernel_summaries/nsys_small_full_training_steps_context_length512_cuda_gpu_kern_sum.csv
small,full_training_steps,512,reduction,84309396,3287554379,2.56,Write_up/nsys_kernel_summaries/nsys_small_full_training_steps_context_length512_cuda_gpu_kern_sum.csv
small,full_training_steps,512,softmax/mask elementwise,77788878,3287554379,2.37,Write_up/nsys_kernel_summaries/nsys_small_full_training_steps_context_length512_cuda_gpu_kern_sum.csv
small,full_training_steps,512,copy/memory,18212559,3287554379,0.55,Write_up/nsys_kernel_summaries/nsys_small_full_training_steps_context_length512_cuda_gpu_kern_sum.csv
small,full_training_steps,512,index/gather,460575,3287554379,0.01,Write_up/nsys_kernel_summaries/nsys_small_full_training_steps_context_length512_cuda_gpu_kern_sum.csv
small,full_training_steps,512,other,98037,3287554379,0.00,Write_up/nsys_kernel_summaries/nsys_small_full_training_steps_context_length512_cuda_gpu_kern_sum.csv
