elapsed_seconds,timestamp,index,name,gpu_util_percent,mem_util_percent,mem_used_mib,mem_total_mib,power_w,temp_c
1.471443,2026/05/29 15:20:48.914,0,NVIDIA B200,0,0,0,183359,189.59,25
2.505975,2026/05/29 15:20:49.968,0,NVIDIA B200,0,0,42,183359,200.50,26
3.531111,2026/05/29 15:20:50.992,0,NVIDIA B200,0,0,724,183359,239.38,26
4.556156,2026/05/29 15:20:52.017,0,NVIDIA B200,99,30,17740,183359,462.55,34
5.579057,2026/05/29 15:20:53.041,0,NVIDIA B200,98,28,17740,183359,760.88,37
6.601989,2026/05/29 15:20:54.064,0,NVIDIA B200,98,29,17740,183359,762.02,37
7.625446,2026/05/29 15:20:55.089,0,NVIDIA B200,97,32,17740,183359,767.22,38
8.645276,2026/05/29 15:20:56.109,0,NVIDIA B200,98,28,17740,183359,761.84,39
9.667558,2026/05/29 15:20:57.132,0,NVIDIA B200,98,28,17740,183359,766.98,40
10.690529,2026/05/29 15:20:58.152,0,NVIDIA B200,99,30,17740,183359,771.50,41
11.720374,2026/05/29 15:20:59.180,0,NVIDIA B200,98,31,17740,183359,769.05,40
12.746697,2026/05/29 15:21:00.208,0,NVIDIA B200,99,30,17740,183359,769.66,40
13.774707,2026/05/29 15:21:01.234,0,NVIDIA B200,98,29,17740,183359,771.32,41
14.807841,2026/05/29 15:21:02.261,0,NVIDIA B200,98,31,17740,183359,768.40,41
15.828844,2026/05/29 15:21:03.292,0,NVIDIA B200,98,31,17740,183359,768.46,42
16.851310,2026/05/29 15:21:04.313,0,NVIDIA B200,98,27,17740,183359,771.87,42
17.873901,2026/05/29 15:21:05.337,0,NVIDIA B200,99,29,17740,183359,800.08,43
18.895904,2026/05/29 15:21:06.359,0,NVIDIA B200,98,29,17740,183359,796.07,43
19.915538,2026/05/29 15:21:07.379,0,NVIDIA B200,98,30,17740,183359,774.69,42
20.936232,2026/05/29 15:21:08.399,0,NVIDIA B200,99,28,17740,183359,771.24,42
21.956660,2026/05/29 15:21:09.420,0,NVIDIA B200,98,30,17740,183359,773.67,43
22.979310,2026/05/29 15:21:10.442,0,NVIDIA B200,99,29,17742,183359,773.54,44
24.000646,2026/05/29 15:21:11.465,0,NVIDIA B200,100,32,17742,183359,772.99,43
25.048005,2026/05/29 15:21:12.498,0,NVIDIA B200,98,30,17742,183359,777.76,43
26.072409,2026/05/29 15:21:13.535,0,NVIDIA B200,98,31,17742,183359,774.45,42
27.094362,2026/05/29 15:21:14.556,0,NVIDIA B200,98,27,17742,183359,774.82,41
28.116983,2026/05/29 15:21:15.580,0,NVIDIA B200,99,30,17742,183359,766.23,43
29.138228,2026/05/29 15:21:16.602,0,NVIDIA B200,99,29,17742,183359,770.60,43
30.161978,2026/05/29 15:21:17.624,0,NVIDIA B200,98,29,17742,183359,768.16,43
31.183454,2026/05/29 15:21:18.648,0,NVIDIA B200,98,28,17742,183359,777.18,44
32.206255,2026/05/29 15:21:19.669,0,NVIDIA B200,99,28,17742,183359,787.28,44
33.243918,2026/05/29 15:21:20.691,0,NVIDIA B200,99,27,17742,183359,788.49,45
34.268808,2026/05/29 15:21:21.729,0,NVIDIA B200,99,31,17742,183359,777.75,44
35.350402,2026/05/29 15:21:22.804,0,NVIDIA B200,99,28,17742,183359,774.97,45
36.372318,2026/05/29 15:21:23.836,0,NVIDIA B200,100,31,17742,183359,775.42,44
