elapsed_seconds,timestamp,index,name,gpu_util_percent,mem_util_percent,mem_used_mib,mem_total_mib,power_w,temp_c
1.643448,2026/05/30 15:30:47.681,0,NVIDIA B200,0,0,0,183359,191.20,26
2.794189,2026/05/30 15:30:48.867,0,NVIDIA B200,0,0,26,183359,198.10,27
3.836013,2026/05/30 15:30:49.915,0,NVIDIA B200,0,0,724,183359,245.29,27
5.159770,2026/05/30 15:30:51.084,0,NVIDIA B200,0,0,946,183359,245.28,28
6.189656,2026/05/30 15:30:52.278,0,NVIDIA B200,93,27,17740,183359,460.83,36
7.221293,2026/05/30 15:30:53.309,0,NVIDIA B200,98,30,17740,183359,772.78,39
8.261414,2026/05/30 15:30:54.347,0,NVIDIA B200,97,31,17740,183359,775.44,39
9.293094,2026/05/30 15:30:55.380,0,NVIDIA B200,97,28,17740,183359,774.89,40
10.333147,2026/05/30 15:30:56.411,0,NVIDIA B200,98,30,17740,183359,777.82,39
12.183658,2026/05/30 15:30:57.483,0,NVIDIA B200,98,27,17740,183359,779.36,39
13.215649,2026/05/30 15:30:59.303,0,NVIDIA B200,98,29,17740,183359,779.70,42
14.266719,2026/05/30 15:31:00.352,0,NVIDIA B200,98,30,17740,183359,779.30,41
15.305759,2026/05/30 15:31:01.392,0,NVIDIA B200,98,29,17740,183359,778.97,41
16.338507,2026/05/30 15:31:02.426,0,NVIDIA B200,98,30,17740,183359,780.97,41
17.408192,2026/05/30 15:31:03.458,0,NVIDIA B200,98,30,17740,183359,781.82,42
18.437131,2026/05/30 15:31:04.526,0,NVIDIA B200,99,27,17740,183359,789.45,43
19.467686,2026/05/30 15:31:05.555,0,NVIDIA B200,99,27,17740,183359,803.79,43
20.502217,2026/05/30 15:31:06.587,0,NVIDIA B200,98,31,17740,183359,793.96,42
21.624092,2026/05/30 15:31:07.669,0,NVIDIA B200,98,30,17740,183359,781.42,41
22.680422,2026/05/30 15:31:08.755,0,NVIDIA B200,98,29,17742,183359,780.15,42
23.747754,2026/05/30 15:31:09.807,0,NVIDIA B200,98,30,17742,183359,785.09,43
24.773338,2026/05/30 15:31:10.863,0,NVIDIA B200,98,27,17742,183359,787.30,43
25.817076,2026/05/30 15:31:11.893,0,NVIDIA B200,97,30,17742,183359,781.18,43
26.851960,2026/05/30 15:31:12.940,0,NVIDIA B200,99,29,17742,183359,778.74,43
27.883318,2026/05/30 15:31:13.969,0,NVIDIA B200,97,29,17742,183359,784.73,44
28.914908,2026/05/30 15:31:15.003,0,NVIDIA B200,99,31,17742,183359,784.49,43
29.950609,2026/05/30 15:31:16.035,0,NVIDIA B200,98,31,17742,183359,780.28,42
30.983547,2026/05/30 15:31:17.069,0,NVIDIA B200,98,31,17742,183359,787.47,42
32.087587,2026/05/30 15:31:18.166,0,NVIDIA B200,98,30,17742,183359,782.45,42
33.119527,2026/05/30 15:31:19.206,0,NVIDIA B200,99,28,17742,183359,792.81,45
34.152200,2026/05/30 15:31:20.239,0,NVIDIA B200,98,28,17742,183359,803.62,44
35.192078,2026/05/30 15:31:21.271,0,NVIDIA B200,98,28,17742,183359,803.15,44
36.246630,2026/05/30 15:31:22.334,0,NVIDIA B200,98,31,17742,183359,784.77,44
37.280605,2026/05/30 15:31:23.366,0,NVIDIA B200,97,30,17742,183359,787.79,44
38.314890,2026/05/30 15:31:24.398,0,NVIDIA B200,98,30,17742,183359,783.00,45
39.347315,2026/05/30 15:31:25.434,0,NVIDIA B200,98,29,17742,183359,789.21,45
40.376523,2026/05/30 15:31:26.465,0,NVIDIA B200,98,30,17742,183359,787.39,44
41.406223,2026/05/30 15:31:27.493,0,NVIDIA B200,98,30,17742,183359,788.46,44
42.641944,2026/05/30 15:31:28.667,0,NVIDIA B200,99,30,17742,183359,789.22,44
43.679426,2026/05/30 15:31:29.761,0,NVIDIA B200,98,30,17742,183359,791.14,45
44.714632,2026/05/30 15:31:30.804,0,NVIDIA B200,99,30,17742,183359,779.29,44
45.738651,2026/05/30 15:31:31.829,0,NVIDIA B200,98,31,17742,183359,785.53,43
47.022525,2026/05/30 15:31:32.910,0,NVIDIA B200,98,31,17742,183359,789.12,43
48.049115,2026/05/30 15:31:34.139,0,NVIDIA B200,99,27,17742,183359,808.01,45
49.080554,2026/05/30 15:31:35.168,0,NVIDIA B200,99,27,17742,183359,808.46,45
50.106032,2026/05/30 15:31:36.195,0,NVIDIA B200,98,28,17742,183359,792.72,45
51.711380,2026/05/30 15:31:37.337,0,NVIDIA B200,98,27,17742,183359,792.18,44
52.746078,2026/05/30 15:31:38.827,0,NVIDIA B200,99,31,17742,183359,790.49,44
53.770653,2026/05/30 15:31:39.861,0,NVIDIA B200,97,29,17742,183359,787.40,43
54.796877,2026/05/30 15:31:40.886,0,NVIDIA B200,98,31,17742,183359,782.53,43
56.034297,2026/05/30 15:31:42.117,0,NVIDIA B200,98,28,17742,183359,783.93,45
57.061682,2026/05/30 15:31:43.150,0,NVIDIA B200,98,30,17742,183359,788.58,44
