timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz]
2026/05/28 20:28:43.059, 37 %, 18 %, 1310 MiB, 8192 MiB, 17.43 W, 54, 420 MHz, 405 MHz
2026/05/28 20:28:44.071, 35 %, 18 %, 1310 MiB, 8192 MiB, 17.39 W, 54, 390 MHz, 405 MHz
2026/05/28 20:28:45.077, 39 %, 18 %, 1310 MiB, 8192 MiB, 17.47 W, 54, 375 MHz, 405 MHz
2026/05/28 20:28:46.083, 36 %, 18 %, 1310 MiB, 8192 MiB, 17.25 W, 54, 360 MHz, 405 MHz
2026/05/28 20:28:47.089, 6 %, 1 %, 1544 MiB, 8192 MiB, 33.15 W, 55, 1560 MHz, 7000 MHz
2026/05/28 20:28:48.092, 6 %, 1 %, 1544 MiB, 8192 MiB, 33.29 W, 55, 1560 MHz, 7000 MHz
2026/05/28 20:28:49.096, 39 %, 20 %, 3776 MiB, 8192 MiB, 44.23 W, 56, 1560 MHz, 7000 MHz
2026/05/28 20:28:50.110, 92 %, 67 %, 4092 MiB, 8192 MiB, 130.95 W, 65, 1800 MHz, 7000 MHz
2026/05/28 20:28:51.204, 88 %, 63 %, 4092 MiB, 8192 MiB, 126.42 W, 66, 1785 MHz, 7000 MHz
2026/05/28 20:28:52.291, 92 %, 64 %, 4092 MiB, 8192 MiB, 137.62 W, 66, 1770 MHz, 7000 MHz
2026/05/28 20:28:53.380, 93 %, 67 %, 4092 MiB, 8192 MiB, 144.75 W, 67, 1860 MHz, 7000 MHz
2026/05/28 20:28:54.468, 87 %, 61 %, 4092 MiB, 8192 MiB, 133.12 W, 68, 1755 MHz, 7000 MHz
2026/05/28 20:28:54.645, 92 %, 65 %, 4092 MiB, 8192 MiB, 134.67 W, 68, 1755 MHz, 7000 MHz
2026/05/28 20:28:55.734, 91 %, 65 %, 4092 MiB, 8192 MiB, 134.45 W, 69, 1905 MHz, 7000 MHz
2026/05/28 20:28:56.824, 88 %, 62 %, 4092 MiB, 8192 MiB, 133.24 W, 70, 1695 MHz, 7000 MHz
2026/05/28 20:28:57.913, 93 %, 65 %, 4092 MiB, 8192 MiB, 134.65 W, 70, 1770 MHz, 7000 MHz
2026/05/28 20:28:59.003, 92 %, 65 %, 4092 MiB, 8192 MiB, 120.14 W, 71, 1905 MHz, 7000 MHz
2026/05/28 20:29:00.092, 90 %, 63 %, 4092 MiB, 8192 MiB, 130.12 W, 71, 1665 MHz, 7000 MHz
2026/05/28 20:29:01.182, 94 %, 67 %, 4092 MiB, 8192 MiB, 134.64 W, 72, 1755 MHz, 7000 MHz
2026/05/28 20:29:02.269, 94 %, 66 %, 4092 MiB, 8192 MiB, 137.36 W, 73, 1755 MHz, 7000 MHz
2026/05/28 20:29:03.358, 92 %, 65 %, 4092 MiB, 8192 MiB, 86.60 W, 74, 1665 MHz, 7000 MHz
2026/05/28 20:29:04.447, 90 %, 63 %, 4092 MiB, 8192 MiB, 133.53 W, 74, 1755 MHz, 7000 MHz
2026/05/28 20:29:05.536, 92 %, 64 %, 4092 MiB, 8192 MiB, 134.35 W, 75, 1710 MHz, 7000 MHz
2026/05/28 20:29:06.625, 94 %, 65 %, 4406 MiB, 8192 MiB, 129.16 W, 75, 1695 MHz, 7000 MHz
2026/05/28 20:29:07.715, 88 %, 62 %, 4406 MiB, 8192 MiB, 138.24 W, 75, 1725 MHz, 7000 MHz
2026/05/28 20:29:08.806, 95 %, 67 %, 4406 MiB, 8192 MiB, 139.61 W, 76, 1680 MHz, 7000 MHz
2026/05/28 20:29:09.895, 93 %, 66 %, 4406 MiB, 8192 MiB, 135.84 W, 76, 1860 MHz, 7000 MHz
2026/05/28 20:29:10.985, 94 %, 68 %, 4406 MiB, 8192 MiB, 137.28 W, 77, 1710 MHz, 7000 MHz
2026/05/28 20:29:12.073, 93 %, 66 %, 4406 MiB, 8192 MiB, 135.98 W, 77, 1875 MHz, 7000 MHz
2026/05/28 20:29:13.161, 94 %, 66 %, 4406 MiB, 8192 MiB, 137.37 W, 78, 1725 MHz, 7000 MHz
2026/05/28 20:29:14.251, 93 %, 66 %, 4406 MiB, 8192 MiB, 136.24 W, 78, 1740 MHz, 7000 MHz
2026/05/28 20:29:15.333, 92 %, 64 %, 4406 MiB, 8192 MiB, 136.76 W, 79, 1725 MHz, 7000 MHz
2026/05/28 20:29:16.371, 93 %, 66 %, 4406 MiB, 8192 MiB, 136.01 W, 78, 1755 MHz, 7000 MHz
2026/05/28 20:29:17.409, 93 %, 67 %, 4406 MiB, 8192 MiB, 137.43 W, 79, 1725 MHz, 7000 MHz
2026/05/28 20:29:18.450, 93 %, 67 %, 4406 MiB, 8192 MiB, 132.19 W, 79, 1665 MHz, 7000 MHz
2026/05/28 20:29:19.488, 93 %, 65 %, 4406 MiB, 8192 MiB, 139.30 W, 80, 1710 MHz, 7000 MHz
2026/05/28 20:29:20.527, 92 %, 66 %, 4406 MiB, 8192 MiB, 129.66 W, 80, 1665 MHz, 7000 MHz
2026/05/28 20:29:21.565, 94 %, 67 %, 4406 MiB, 8192 MiB, 146.41 W, 81, 1815 MHz, 7000 MHz
2026/05/28 20:29:22.603, 94 %, 66 %, 4406 MiB, 8192 MiB, 150.09 W, 82, 1680 MHz, 7000 MHz
2026/05/28 20:29:23.631, 95 %, 65 %, 4406 MiB, 8192 MiB, 142.92 W, 81, 1725 MHz, 7000 MHz
2026/05/28 20:29:24.642, 90 %, 64 %, 4406 MiB, 8192 MiB, 161.22 W, 82, 1800 MHz, 7000 MHz
2026/05/28 20:29:25.654, 95 %, 68 %, 4406 MiB, 8192 MiB, 143.93 W, 82, 1725 MHz, 7000 MHz
2026/05/28 20:29:26.662, 95 %, 66 %, 4406 MiB, 8192 MiB, 142.10 W, 83, 1710 MHz, 7000 MHz
2026/05/28 20:29:25.791, 93 %, 66 %, 4406 MiB, 8192 MiB, 140.43 W, 83, 1800 MHz, 7000 MHz
2026/05/28 20:29:26.799, 95 %, 67 %, 4406 MiB, 8192 MiB, 145.35 W, 83, 1680 MHz, 7000 MHz
2026/05/28 20:29:27.806, 90 %, 64 %, 4406 MiB, 8192 MiB, 126.39 W, 83, 1845 MHz, 7000 MHz
2026/05/28 20:29:28.813, 94 %, 64 %, 4406 MiB, 8192 MiB, 134.35 W, 83, 1620 MHz, 7000 MHz
2026/05/28 20:29:29.820, 89 %, 64 %, 4406 MiB, 8192 MiB, 78.94 W, 83, 1635 MHz, 7000 MHz
2026/05/28 20:29:30.832, 94 %, 65 %, 4406 MiB, 8192 MiB, 139.71 W, 83, 1695 MHz, 7000 MHz
2026/05/28 20:29:31.850, 91 %, 65 %, 4406 MiB, 8192 MiB, 173.86 W, 84, 1620 MHz, 7000 MHz
2026/05/28 20:29:32.874, 94 %, 68 %, 4406 MiB, 8192 MiB, 152.24 W, 84, 1725 MHz, 7000 MHz
2026/05/28 20:29:33.898, 96 %, 67 %, 4406 MiB, 8192 MiB, 143.38 W, 85, 1770 MHz, 7000 MHz
2026/05/28 20:29:34.921, 91 %, 64 %, 4406 MiB, 8192 MiB, 141.22 W, 85, 1680 MHz, 7000 MHz
2026/05/28 20:29:35.946, 95 %, 66 %, 4406 MiB, 8192 MiB, 140.99 W, 85, 1650 MHz, 7000 MHz
2026/05/28 20:29:36.969, 93 %, 63 %, 4406 MiB, 8192 MiB, 143.61 W, 85, 1635 MHz, 7000 MHz
2026/05/28 20:29:37.993, 95 %, 66 %, 4406 MiB, 8192 MiB, 143.26 W, 86, 1800 MHz, 7000 MHz
2026/05/28 20:29:39.017, 91 %, 65 %, 4406 MiB, 8192 MiB, 139.38 W, 85, 1710 MHz, 7000 MHz
2026/05/28 20:29:40.082, 94 %, 65 %, 4406 MiB, 8192 MiB, 141.76 W, 85, 1650 MHz, 7000 MHz
2026/05/28 20:29:41.170, 94 %, 66 %, 4406 MiB, 8192 MiB, 140.60 W, 86, 1725 MHz, 7000 MHz
2026/05/28 20:29:42.258, 91 %, 65 %, 4406 MiB, 8192 MiB, 141.60 W, 86, 1680 MHz, 7000 MHz
2026/05/28 20:29:43.347, 95 %, 66 %, 4406 MiB, 8192 MiB, 140.88 W, 86, 1635 MHz, 7000 MHz
2026/05/28 20:29:44.435, 90 %, 65 %, 4406 MiB, 8192 MiB, 132.44 W, 86, 1800 MHz, 7000 MHz
2026/05/28 20:29:45.530, 95 %, 68 %, 4406 MiB, 8192 MiB, 144.53 W, 86, 1665 MHz, 7000 MHz
2026/05/28 20:29:46.619, 95 %, 67 %, 4406 MiB, 8192 MiB, 144.62 W, 86, 1575 MHz, 7000 MHz
2026/05/28 20:29:47.707, 91 %, 63 %, 4406 MiB, 8192 MiB, 128.53 W, 86, 1800 MHz, 7000 MHz
2026/05/28 20:29:48.797, 96 %, 68 %, 4406 MiB, 8192 MiB, 136.62 W, 85, 1650 MHz, 7000 MHz
2026/05/28 20:29:49.887, 96 %, 66 %, 4406 MiB, 8192 MiB, 137.94 W, 86, 1590 MHz, 7000 MHz
2026/05/28 20:29:50.977, 92 %, 63 %, 4406 MiB, 8192 MiB, 131.48 W, 86, 1620 MHz, 7000 MHz
2026/05/28 20:29:52.064, 94 %, 66 %, 4406 MiB, 8192 MiB, 138.08 W, 85, 1620 MHz, 7000 MHz
2026/05/28 20:29:53.153, 94 %, 67 %, 4406 MiB, 8192 MiB, 70.07 W, 86, 1575 MHz, 7000 MHz
2026/05/28 20:29:54.243, 96 %, 63 %, 4406 MiB, 8192 MiB, 136.62 W, 86, 1575 MHz, 7000 MHz
2026/05/28 20:29:55.332, 96 %, 65 %, 4406 MiB, 8192 MiB, 128.50 W, 85, 1545 MHz, 7000 MHz
2026/05/28 20:29:56.415, 94 %, 66 %, 4406 MiB, 8192 MiB, 124.25 W, 86, 1560 MHz, 7000 MHz
2026/05/28 20:29:57.483, 95 %, 67 %, 4406 MiB, 8192 MiB, 130.75 W, 86, 1755 MHz, 7000 MHz
2026/05/28 20:29:57.033, 94 %, 66 %, 4406 MiB, 8192 MiB, 129.41 W, 86, 1590 MHz, 7000 MHz
2026/05/28 20:29:58.105, 90 %, 64 %, 4406 MiB, 8192 MiB, 123.92 W, 86, 1635 MHz, 7000 MHz
2026/05/28 20:29:59.176, 95 %, 64 %, 4406 MiB, 8192 MiB, 120.75 W, 86, 1545 MHz, 7000 MHz
2026/05/28 20:30:00.252, 92 %, 64 %, 4406 MiB, 8192 MiB, 129.27 W, 86, 1500 MHz, 7000 MHz
2026/05/28 20:30:01.319, 95 %, 64 %, 4406 MiB, 8192 MiB, 126.12 W, 86, 1605 MHz, 7000 MHz
2026/05/28 20:30:02.386, 96 %, 66 %, 4406 MiB, 8192 MiB, 126.27 W, 86, 1515 MHz, 7000 MHz
2026/05/28 20:30:03.404, 96 %, 66 %, 4406 MiB, 8192 MiB, 124.46 W, 86, 1590 MHz, 7000 MHz
2026/05/28 20:30:04.425, 95 %, 64 %, 4406 MiB, 8192 MiB, 126.15 W, 86, 1545 MHz, 7000 MHz
2026/05/28 20:30:05.475, 95 %, 66 %, 4406 MiB, 8192 MiB, 124.59 W, 86, 1515 MHz, 7000 MHz
2026/05/28 20:30:06.524, 96 %, 65 %, 4406 MiB, 8192 MiB, 128.29 W, 86, 1575 MHz, 7000 MHz
2026/05/28 20:30:07.575, 92 %, 64 %, 4406 MiB, 8192 MiB, 122.68 W, 86, 1515 MHz, 7000 MHz
2026/05/28 20:30:08.626, 96 %, 65 %, 4406 MiB, 8192 MiB, 125.72 W, 86, 1485 MHz, 7000 MHz
2026/05/28 20:30:09.677, 94 %, 60 %, 4406 MiB, 8192 MiB, 129.34 W, 86, 1455 MHz, 7000 MHz
2026/05/28 20:30:10.728, 96 %, 64 %, 4406 MiB, 8192 MiB, 136.35 W, 86, 1680 MHz, 7000 MHz
2026/05/28 20:30:11.793, 95 %, 65 %, 4406 MiB, 8192 MiB, 127.18 W, 86, 1515 MHz, 7000 MHz
2026/05/28 20:30:12.862, 97 %, 64 %, 4406 MiB, 8192 MiB, 122.43 W, 86, 1605 MHz, 7000 MHz
2026/05/28 20:30:13.951, 97 %, 66 %, 4406 MiB, 8192 MiB, 118.00 W, 86, 1425 MHz, 7000 MHz
2026/05/28 20:30:15.038, 96 %, 65 %, 4406 MiB, 8192 MiB, 117.24 W, 86, 1560 MHz, 7000 MHz
2026/05/28 20:30:16.126, 96 %, 65 %, 4406 MiB, 8192 MiB, 127.17 W, 86, 1500 MHz, 7000 MHz
